time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-14 00:00:00+00:00,5,4,73,42
2024-11-15 00:00:00+00:00,4,4,115,57
2024-11-16 00:00:00+00:00,9,8,62,32
2024-11-17 00:00:00+00:00,2,2,78,34
2024-11-18 00:00:00+00:00,10,8,142,60
2024-11-19 00:00:00+00:00,7,7,92,61
2024-11-20 00:00:00+00:00,9,8,61,38
2024-11-21 00:00:00+00:00,5,4,76,45
2024-11-22 00:00:00+00:00,11,8,119,40
2024-11-23 00:00:00+00:00,9,7,50,26
2024-11-24 00:00:00+00:00,5,5,91,52
2024-11-25 00:00:00+00:00,10,8,109,56
2024-11-26 00:00:00+00:00,6,6,80,55
2024-11-27 00:00:00+00:00,12,9,105,55
