time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-15 00:00:00+00:00,69,34,220,62
2025-07-16 00:00:00+00:00,36,28,109,59
2025-07-17 00:00:00+00:00,25,14,123,54
2025-07-18 00:00:00+00:00,41,27,193,53
2025-07-19 00:00:00+00:00,24,15,103,39
2025-07-20 00:00:00+00:00,31,21,86,39
2025-07-21 00:00:00+00:00,30,22,83,46
2025-07-22 00:00:00+00:00,34,25,134,46
2025-07-23 00:00:00+00:00,32,22,173,60
2025-07-24 00:00:00+00:00,29,18,100,50
2025-07-25 00:00:00+00:00,30,16,61,40
2025-07-26 00:00:00+00:00,45,16,64,36
2025-07-27 00:00:00+00:00,33,23,162,40
2025-07-28 00:00:00+00:00,28,23,112,52
