time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-25 00:00:00+00:00,30,16,41,37
2025-12-26 00:00:00+00:00,19,10,87,51
2025-12-27 00:00:00+00:00,20,11,65,48
2025-12-28 00:00:00+00:00,26,16,55,39
2025-12-29 00:00:00+00:00,21,15,94,62
2025-12-30 00:00:00+00:00,30,19,82,58
2025-12-31 00:00:00+00:00,25,12,99,53
2026-01-01 00:00:00+00:00,22,12,59,46
2026-01-02 00:00:00+00:00,18,10,132,43
2026-01-03 00:00:00+00:00,18,12,89,46
2026-01-04 00:00:00+00:00,42,19,78,58
2026-01-05 00:00:00+00:00,28,21,132,88
2026-01-06 00:00:00+00:00,29,20,125,83
2026-01-07 00:00:00+00:00,61,17,132,75
