time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-08 00:00:00+00:00,57,31,84,70
2026-05-09 00:00:00+00:00,1040,48,92,64
2026-05-10 00:00:00+00:00,24,17,85,67
2026-05-11 00:00:00+00:00,51,29,82,64
2026-05-12 00:00:00+00:00,49,21,69,47
2026-05-13 00:00:00+00:00,116,18,73,49
2026-05-14 00:00:00+00:00,34,14,79,66
2026-05-15 00:00:00+00:00,56,26,97,52
2026-05-16 00:00:00+00:00,41,19,79,57
2026-05-17 00:00:00+00:00,30,23,76,59
2026-05-18 00:00:00+00:00,48,24,93,80
2026-05-19 00:00:00+00:00,44,27,107,67
2026-05-20 00:00:00+00:00,67,34,80,68
2026-05-21 00:00:00+00:00,44,29,81,57
