time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-10 00:00:00+00:00,40,22,126,58
2025-06-11 00:00:00+00:00,26,17,80,48
2025-06-12 00:00:00+00:00,32,20,68,45
2025-06-13 00:00:00+00:00,36,26,87,40
2025-06-14 00:00:00+00:00,17,10,52,26
2025-06-15 00:00:00+00:00,23,14,52,35
2025-06-16 00:00:00+00:00,36,27,84,55
2025-06-17 00:00:00+00:00,39,25,114,41
2025-06-18 00:00:00+00:00,27,18,82,40
2025-06-19 00:00:00+00:00,24,14,119,38
2025-06-20 00:00:00+00:00,27,15,76,46
2025-06-21 00:00:00+00:00,71,13,181,47
2025-06-22 00:00:00+00:00,33,14,128,35
2025-06-23 00:00:00+00:00,19,17,116,53
