time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-08 00:00:00+00:00,22,21,63,46
2025-10-09 00:00:00+00:00,27,19,58,44
2025-10-10 00:00:00+00:00,22,15,87,41
2025-10-11 00:00:00+00:00,23,22,97,41
2025-10-12 00:00:00+00:00,33,29,78,42
2025-10-13 00:00:00+00:00,29,24,112,61
2025-10-14 00:00:00+00:00,40,17,98,55
2025-10-15 00:00:00+00:00,38,25,151,62
2025-10-16 00:00:00+00:00,34,18,104,74
2025-10-17 00:00:00+00:00,18,13,120,78
2025-10-18 00:00:00+00:00,13,13,84,58
2025-10-19 00:00:00+00:00,19,16,97,62
2025-10-20 00:00:00+00:00,22,19,165,95
2025-10-21 00:00:00+00:00,27,15,108,77
