time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-07 00:00:00+00:00,25,12,148,88
2024-05-08 00:00:00+00:00,27,22,149,52
2024-05-09 00:00:00+00:00,9,9,88,49
2024-05-10 00:00:00+00:00,21,13,88,53
2024-05-11 00:00:00+00:00,18,15,61,28
2024-05-12 00:00:00+00:00,19,13,160,34
2024-05-13 00:00:00+00:00,11,11,126,52
2024-05-14 00:00:00+00:00,19,12,111,87
2024-05-15 00:00:00+00:00,16,15,237,157
2024-05-16 00:00:00+00:00,11,10,108,82
2024-05-17 00:00:00+00:00,25,20,152,39
2024-05-18 00:00:00+00:00,18,11,124,35
2024-05-19 00:00:00+00:00,19,15,122,45
2024-05-20 00:00:00+00:00,25,16,153,51
