time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-24 00:00:00+00:00,29,18,100,50
2025-07-25 00:00:00+00:00,30,16,61,40
2025-07-26 00:00:00+00:00,45,16,64,36
2025-07-27 00:00:00+00:00,33,23,162,40
2025-07-28 00:00:00+00:00,42,27,177,55
2025-07-29 00:00:00+00:00,29,20,103,67
2025-07-30 00:00:00+00:00,32,23,106,60
2025-07-31 00:00:00+00:00,22,14,107,54
2025-08-01 00:00:00+00:00,33,23,78,47
2025-08-02 00:00:00+00:00,25,14,54,32
2025-08-03 00:00:00+00:00,22,14,66,44
2025-08-04 00:00:00+00:00,31,22,96,54
2025-08-05 00:00:00+00:00,42,20,79,44
2025-08-06 00:00:00+00:00,18,15,97,52
