referrer,views_total,views_unique
Google,466,235
oxide.md,97,23
github.com,87,39
zed.dev,85,61
DuckDuckGo,83,46
search.brave.com,44,30
youtube.com,34,19
Bing,15,14
search.nixos.org,10,5
archlinux.org,9,3
