time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-09 00:00:00+00:00,28,20,80,58
2025-04-10 00:00:00+00:00,52,30,72,45
2025-04-11 00:00:00+00:00,35,30,124,36
2025-04-12 00:00:00+00:00,16,11,62,42
2025-04-13 00:00:00+00:00,15,13,67,47
2025-04-14 00:00:00+00:00,40,21,91,51
2025-04-15 00:00:00+00:00,20,17,119,52
2025-04-16 00:00:00+00:00,20,16,98,52
2025-04-17 00:00:00+00:00,31,21,97,57
2025-04-18 00:00:00+00:00,20,17,85,47
2025-04-19 00:00:00+00:00,11,8,64,44
2025-04-20 00:00:00+00:00,19,14,84,34
2025-04-21 00:00:00+00:00,18,13,97,53
2025-04-22 00:00:00+00:00,16,15,96,49
