time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-11 00:00:00+00:00,66,22,82,52
2026-04-12 00:00:00+00:00,52,31,128,84
2026-04-13 00:00:00+00:00,32,21,138,93
2026-04-14 00:00:00+00:00,30,20,145,95
2026-04-15 00:00:00+00:00,50,34,327,239
2026-04-16 00:00:00+00:00,23,13,117,76
2026-04-17 00:00:00+00:00,48,26,105,69
2026-04-18 00:00:00+00:00,26,15,74,67
2026-04-19 00:00:00+00:00,30,22,99,56
2026-04-20 00:00:00+00:00,120,53,123,81
2026-04-21 00:00:00+00:00,80,46,141,67
2026-04-22 00:00:00+00:00,112,47,117,84
2026-04-23 00:00:00+00:00,91,31,106,76
2026-04-24 00:00:00+00:00,108,50,89,64
