referrer,views_total,views_unique
Google,485,239
oxide.md,97,22
DuckDuckGo,84,48
zed.dev,83,63
github.com,79,38
search.brave.com,40,27
youtube.com,36,21
Bing,21,16
search.nixos.org,10,5
archlinux.org,9,3
