time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-06 00:00:00+00:00,25,25,78,25
2024-04-07 00:00:00+00:00,33,32,108,38
2024-04-08 00:00:00+00:00,56,50,166,76
2024-04-09 00:00:00+00:00,40,37,62,34
2024-04-10 00:00:00+00:00,42,37,39,22
2024-04-11 00:00:00+00:00,52,46,78,44
2024-04-12 00:00:00+00:00,53,38,70,27
2024-04-13 00:00:00+00:00,32,30,56,23
2024-04-14 00:00:00+00:00,51,47,81,23
2024-04-15 00:00:00+00:00,61,52,59,29
2024-04-16 00:00:00+00:00,43,42,81,29
2024-04-17 00:00:00+00:00,43,40,125,37
2024-04-18 00:00:00+00:00,79,64,134,44
2024-04-19 00:00:00+00:00,45,41,83,45
