time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-10 00:00:00+00:00,177,51,227,89
2026-03-11 00:00:00+00:00,75,50,170,91
2026-03-12 00:00:00+00:00,59,33,149,86
2026-03-13 00:00:00+00:00,22,20,136,59
2026-03-14 00:00:00+00:00,21,20,120,57
2026-03-15 00:00:00+00:00,22,14,96,63
2026-03-16 00:00:00+00:00,27,25,77,57
2026-03-17 00:00:00+00:00,17,11,132,79
2026-03-18 00:00:00+00:00,39,26,117,70
2026-03-19 00:00:00+00:00,168,18,130,77
2026-03-20 00:00:00+00:00,25,18,100,64
2026-03-21 00:00:00+00:00,16,14,63,51
2026-03-22 00:00:00+00:00,18,10,84,56
2026-03-23 00:00:00+00:00,27,19,102,76
