time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-11 00:00:00+00:00,38,23,74,50
2025-08-12 00:00:00+00:00,172,46,290,87
2025-08-13 00:00:00+00:00,40,30,532,242
2025-08-14 00:00:00+00:00,21,11,189,97
2025-08-15 00:00:00+00:00,36,20,102,50
2025-08-16 00:00:00+00:00,83,32,137,50
2025-08-17 00:00:00+00:00,55,35,194,57
2025-08-18 00:00:00+00:00,50,36,86,45
2025-08-19 00:00:00+00:00,43,32,96,41
2025-08-20 00:00:00+00:00,38,30,47,32
2025-08-21 00:00:00+00:00,26,17,125,53
2025-08-22 00:00:00+00:00,27,19,95,41
2025-08-23 00:00:00+00:00,28,18,66,40
2025-08-24 00:00:00+00:00,11,10,106,37
