referrer,views_total,views_unique
Google,453,239
oxide.md,97,25
zed.dev,95,63
github.com,81,34
DuckDuckGo,80,45
search.brave.com,41,29
youtube.com,30,16
Bing,16,15
archlinux.org,8,2
nix-community.github.io,6,6
