time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-07 00:00:00+00:00,6,6,68,36
2024-12-08 00:00:00+00:00,16,8,123,48
2024-12-09 00:00:00+00:00,18,14,156,61
2024-12-10 00:00:00+00:00,8,5,96,58
2024-12-11 00:00:00+00:00,7,5,110,60
2024-12-12 00:00:00+00:00,9,6,54,40
2024-12-13 00:00:00+00:00,9,9,55,32
2024-12-14 00:00:00+00:00,4,4,63,26
2024-12-15 00:00:00+00:00,4,3,39,28
2024-12-16 00:00:00+00:00,8,8,72,37
2024-12-17 00:00:00+00:00,9,8,107,48
2024-12-18 00:00:00+00:00,9,8,136,50
2024-12-19 00:00:00+00:00,4,4,117,54
2024-12-20 00:00:00+00:00,6,6,45,27
