time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-02 00:00:00+00:00,12,12,62,38
2025-10-03 00:00:00+00:00,21,18,114,51
2025-10-04 00:00:00+00:00,21,17,67,40
2025-10-05 00:00:00+00:00,17,17,69,42
2025-10-06 00:00:00+00:00,20,19,85,45
2025-10-07 00:00:00+00:00,20,16,83,54
2025-10-08 00:00:00+00:00,22,21,63,46
2025-10-09 00:00:00+00:00,27,19,58,44
2025-10-10 00:00:00+00:00,22,15,87,41
2025-10-11 00:00:00+00:00,23,22,97,41
2025-10-12 00:00:00+00:00,33,29,78,42
2025-10-13 00:00:00+00:00,29,24,112,61
2025-10-14 00:00:00+00:00,40,17,98,55
2025-10-15 00:00:00+00:00,35,22,150,62
